x,y
25,32.37577
88,87.67389
54,54.576485
21,18.064503
8,7.8965397
32,35.00341
35,36.728233
67,65.849754
90,89.59296
59,61.69026
15,11.604993
67,71.08268
42,43.719013
44,41.57421
77,74.25552
68,66.283104
36,36.624382
11,10.323749
10,7.1564574
65,67.88603
98,101.10976
98,98.613205
49,50.190838
31,27.838963
56,55.924957
70,76.47341
91,92.05756
25,27.352455
54,55.320835
39,41.399902
91,93.59057
3,5.297054
22,21.014294
2,2.2670596
2,-0.121860504
65,66.49546
71,73.83638
42,42.10141
76,77.35136
43,41.02252
8,14.753053
86,83.28199
87,89.93375
3,2.2865717
58,55.614212
62,62.153133
89,89.55804
95,94.00292
28,26.78024
1,0.282866
49,44.268005
21,19.851742
46,47.1596
